,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Jishou,100,CN,1563579560,89,28.26,109.7,76.47,0.13
376,Augusto Correa,53,BR,1563579561,94,-1.02,-46.63,73.05,3.04
377,Beyneu,49,KZ,1563579562,38,45.32,55.19,86.55,15.95
378,Quang Ngai,100,VN,1563579563,76,15.12,108.8,79.17,2.59
379,Sakaiminato,90,JP,1563579564,88,35.55,133.23,77.0,5.82
380,Gigmoto,100,PH,1563579566,73,13.78,124.39,84.04,9.51
381,Okhotsk,46,RU,1563579567,47,59.36,143.24,65.32,12.71
382,Hambantota,100,LK,1563579568,72,6.12,81.12,82.42,28.07
383,Charters Towers,0,AU,1563579569,52,-20.07,146.27,61.72,9.73
384,Katsuura,75,JP,1563579570,94,33.93,134.5,77.0,16.11
385,Quatre Cocos,40,MU,1563579454,88,-20.21,57.76,70.0,11.41
386,Shebalino,100,RU,1563579573,94,51.29,85.68,53.25,2.84
387,Superior,1,US,1563579574,11,39.95,-105.17,100.99,5.82
388,Lethem,40,GY,1563579575,83,3.38,-59.8,77.02,5.1
389,Cam Ranh,20,VN,1563579576,74,11.92,109.15,84.2,5.82
390,Faanui,63,PF,1563579094,79,-16.48,-151.75,76.3,18.68
391,Weyburn,15,CA,1563579579,33,49.67,-103.85,73.99,18.99
392,Ternate,75,PH,1563579580,83,14.29,120.72,82.99,4.7
393,Kulhudhuffushi,100,MV,1563579581,78,6.62,73.07,83.32,23.11
394,Tambovka,69,RU,1563579582,52,47.32,47.38,75.57,8.3
395,Abalak,62,NE,1563579584,42,15.46,6.28,88.17,15.05
396,Voh,26,NC,1563579585,75,-20.95,164.69,68.92,15.23
397,Pundaguitan,45,PH,1563579586,71,6.37,126.17,82.05,4.03
398,Bull Savanna,2,JM,1563579043,79,17.89,-77.59,84.75,3.33
399,Nishihara,20,JP,1563579438,88,35.74,139.53,84.99,2.01
400,Binzhou,26,CN,1563579590,71,37.38,117.96,84.0,5.12
401,Thayetmyo,100,MM,1563579594,95,19.32,95.18,75.94,3.74
402,Shelburne,20,CA,1563579595,74,44.08,-80.2,86.0,9.17
403,Ilhabela,89,BR,1563579596,75,-23.78,-45.36,69.82,16.75
404,Whakatane,88,NZ,1563579598,71,-37.96,176.99,59.0,1.99
405,Chapais,75,CA,1563579599,57,49.78,-74.86,77.0,11.41
406,Itarema,34,BR,1563579600,81,-2.92,-39.92,75.22,7.14
407,Segovia,0,ES,1563579601,19,40.95,-4.12,87.8,9.17
408,Carnarvon,61,ZA,1563579077,84,-30.97,22.13,37.42,11.61
409,Sao Jose da Coroa Grande,55,BR,1563579603,95,-8.9,-35.15,70.17,5.19
410,Praya,75,ID,1563579605,100,-8.71,116.27,73.4,3.36
411,Lerwick,49,GB,1563579606,93,60.15,-1.15,57.2,9.17
412,Sambava,0,MG,1563579607,88,-14.27,50.17,63.52,3.49
413,Benguela,67,AO,1563579608,80,-12.58,13.4,70.35,0.78
414,Nacala,2,MZ,1563579609,92,-14.56,40.69,62.8,2.75
415,Lumsden,20,CA,1563579611,46,50.65,-104.86,69.8,24.16
416,San Juan,97,AR,1563579612,21,-31.54,-68.53,51.27,4.52
417,Penzance,80,GB,1563579613,100,50.12,-5.53,62.6,16.11
418,Mabopane,0,ZA,1563579614,35,-25.51,28.07,48.99,4.7
419,Coquimbo,0,CL,1563579615,82,-29.95,-71.34,55.4,15.64
420,Severo-Yeniseyskiy,0,RU,1563579617,59,60.37,93.04,55.24,9.75
421,Vitim,100,RU,1563579618,41,59.44,112.57,59.37,18.57
422,Ambanja,0,MG,1563579619,77,-13.68,48.45,74.5,6.49
423,Clarence Town,0,AU,1563579620,70,-32.59,151.78,55.99,5.82
424,Fremont,1,US,1563579394,39,37.55,-121.99,84.99,16.11
425,Praia da Vitoria,20,PT,1563579416,78,38.73,-27.07,75.2,14.61
426,Kopeysk,40,RU,1563579624,78,55.11,61.62,71.6,6.71
427,Half Moon Bay,90,US,1563579625,77,37.46,-122.43,82.0,11.41
428,Payakumbuh,100,ID,1563579626,93,-0.23,100.63,65.32,2.57
429,Merauke,93,ID,1563579627,77,-8.49,140.4,76.65,18.81
430,Comodoro Rivadavia,0,AR,1563579410,52,-45.87,-67.48,44.6,19.46
431,Hailar,100,CN,1563579630,92,49.2,119.7,66.94,14.05
432,Uthal,27,PK,1563579631,76,25.81,66.62,81.87,4.09
433,Caernarfon,94,GB,1563579632,93,53.14,-4.27,63.0,19.46
434,Flinders,0,AU,1563579633,66,-34.58,150.85,57.0,10.29
435,Havre-Saint-Pierre,90,CA,1563579634,67,50.23,-63.6,62.6,3.36
436,Tres Arroyos,100,AR,1563579636,52,-38.38,-60.28,49.12,10.96
437,Balkanabat,0,TM,1563579637,55,39.51,54.36,83.32,10.29
438,Meulaboh,100,ID,1563579638,83,4.14,96.13,79.54,13.35
439,Victoria Point,0,AU,1563579639,54,-27.58,153.3,66.0,13.87
440,Armeria,75,MX,1563579640,78,18.93,-103.97,89.6,17.22
441,Astana,0,KZ,1563579642,63,51.13,71.43,60.8,8.95
442,Alice Springs,13,AU,1563579499,34,-23.7,133.88,53.6,1.12
443,Riobamba,75,EC,1563579644,88,-1.67,-78.65,69.8,3.36
444,Yelets,5,RU,1563579645,90,52.61,38.49,55.05,10.25
445,Mandali,0,IQ,1563579646,24,33.75,45.55,84.94,12.26
446,Biu,100,NG,1563579648,90,10.61,12.19,72.15,4.38
447,Maragogi,55,BR,1563579649,95,-9.01,-35.22,70.17,5.19
448,Zharkent,32,KZ,1563579651,57,44.17,80.0,55.42,1.25
449,Ust-Maya,2,RU,1563579655,40,60.42,134.54,58.65,8.88
450,Loa Janan,32,ID,1563579657,92,-0.58,117.09,77.88,0.67
451,Winneba,75,GH,1563579658,94,5.35,-0.62,77.0,13.87
452,Lavrentiya,99,RU,1563579431,61,65.58,-170.99,61.35,9.22
453,Marzuq,72,YE,1563579661,29,14.4,46.47,74.64,1.5
454,Mersing,100,MY,1563579441,87,2.43,103.84,74.5,1.88
455,Champerico,40,MX,1563579663,52,16.38,-93.6,87.8,11.41
456,Chabahar,76,IR,1563579664,76,25.29,60.65,81.48,3.62
457,Holme,83,DK,1563579665,87,56.11,10.17,57.99,2.28
458,Tiznit,84,MA,1563579666,94,29.7,-9.73,67.26,10.47
459,Kingman,1,US,1563579418,4,35.19,-114.05,109.0,23.04
460,Kilis,0,TR,1563579669,41,36.72,37.12,77.0,1.12
461,Ilo,82,PE,1563579670,83,-17.65,-71.34,58.26,1.92
462,Emba,20,CY,1563579509,83,34.81,32.42,75.2,4.7
463,Bure,100,NG,1563579672,83,10.52,10.33,70.68,1.97
464,Fort Nelson,40,CA,1563579674,53,58.81,-122.69,75.2,3.36
465,Ostrow Mazowiecka,81,PL,1563579675,47,52.8,21.9,66.0,4.83
466,Pinawa,0,CA,1563579676,59,50.15,-95.88,70.5,12.06
467,Nanortalik,99,GL,1563579451,96,60.14,-45.24,43.0,2.24
468,Catuday,100,PH,1563579678,77,16.29,119.81,84.54,14.67
469,Lagunas,3,PE,1563579680,80,-5.23,-75.68,76.08,2.28
470,Abu Samrah,0,SY,1563579681,86,35.3,37.18,67.62,9.91
471,Guymon,1,US,1563579682,22,36.68,-101.48,102.99,18.34
472,Atasu,0,KZ,1563579683,50,48.68,71.64,65.1,5.28
473,Abeche,58,TD,1563579685,48,13.83,20.83,85.08,2.48
474,Ailigandi,75,PA,1563579686,85,9.23,-78.02,82.2,9.1
475,Dunedin,100,NZ,1563579687,97,-45.87,170.5,48.99,15.75
476,Butembo,15,CD,1563579688,94,0.12,29.29,60.06,3.11
477,Belaya Gora,77,RU,1563579434,58,68.54,146.19,50.37,8.46
478,Tuy Hoa,96,VN,1563579690,77,13.08,109.3,79.14,5.1
479,Francistown,0,BW,1563579692,28,-21.17,27.5,52.68,5.59
480,Sar-e Pul,0,AF,1563579693,12,36.22,65.93,82.56,16.89
481,Tazovskiy,0,RU,1563579444,64,67.47,78.7,58.84,12.19
482,Shaunavon,9,CA,1563579695,43,49.65,-108.41,65.64,11.99
483,Teruel,0,ES,1563579696,68,40.34,-1.11,71.6,8.05
484,Weymouth,8,US,1563579698,70,42.22,-70.94,90.0,13.87
485,Punta Alta,0,AR,1563579699,82,-27.46,-55.82,62.6,5.82
486,Pesochnoye,10,RU,1563579700,97,58.01,39.18,49.62,2.86
487,Manaus,20,BR,1563579701,74,-3.13,-59.98,82.4,2.24
488,Lovozero,49,RU,1563579702,87,68.01,35.02,42.24,3.27
489,Lata,0,IN,1563579460,84,30.78,78.62,39.22,2.35
490,Aktau,0,KZ,1563579705,60,43.65,51.16,75.2,8.95
491,Chon Daen,20,TH,1563579706,83,16.19,100.86,78.8,3.36
492,Kang,0,BW,1563579707,25,-23.67,22.79,47.82,8.95
493,Barsovo,40,RU,1563579708,100,61.17,73.17,66.2,6.71
494,Mitsamiouli,0,KM,1563579710,70,-11.38,43.28,76.62,11.05
495,Vanino,6,RU,1563579711,74,53.93,40.55,60.01,3.0
496,Birstonas,0,LT,1563579712,81,54.62,24.03,53.6,1.54
497,Broome,100,GB,1563579713,93,52.47,1.45,64.99,11.41
498,Palana,100,RU,1563579714,96,59.08,159.95,51.06,13.82
499,Madang,0,CN,1563579716,79,35.32,102.79,46.56,1.72
500,Ngunguru,23,NZ,1563579717,75,-35.62,174.5,60.01,10.0
501,Bressuire,0,FR,1563579718,72,46.84,-0.49,68.0,2.24
502,Aboso,100,GH,1563579719,96,5.36,-1.95,73.02,1.36
503,Bucerias,90,MX,1563579721,94,20.76,-105.33,78.01,4.7
504,Fuling,82,CN,1563579722,90,29.71,107.39,77.16,1.21
505,Juneau,90,US,1563579575,93,58.3,-134.42,59.0,8.05
506,Mananjary,1,MG,1563579724,86,-19.16,46.8,54.66,5.19
507,Snyder,1,US,1563579725,29,32.72,-100.92,102.0,19.46
508,Yele,100,CM,1563579727,86,10.73,13.59,72.84,5.59
509,Tual,1,ID,1563579431,86,-5.67,132.75,77.37,19.46
510,Waddan,0,LY,1563579437,60,29.16,16.14,73.42,10.56
511,Namibe,60,AO,1563579730,87,-15.19,12.15,68.7,3.09
512,Nouadhibou,0,MR,1563579731,77,20.93,-17.03,68.0,21.92
513,Grand Gaube,40,MU,1563579451,88,-20.01,57.66,70.0,11.41
514,Trincomalee,72,LK,1563579734,70,8.58,81.23,80.22,8.48
515,Mendoza,0,AR,1563579735,52,-32.89,-68.84,50.0,4.7
516,Torbay,20,CA,1563579717,81,47.66,-52.73,57.0,5.82
517,Porto Novo,0,BR,1563579572,87,-23.68,-45.44,57.2,5.82
518,Tabou,100,CI,1563579738,93,4.42,-7.36,74.64,6.35
519,Anandnagar,75,IN,1563579740,88,18.71,73.3,82.4,4.7
520,Buala,72,SB,1563579741,74,-8.15,159.59,82.74,10.51
521,Abha,20,SA,1563579742,20,18.22,42.5,75.2,4.45
522,Sunland Park,1,US,1563579743,15,31.8,-106.58,102.0,7.07
523,Kangaatsiaq,78,GL,1563579745,90,68.31,-53.46,44.4,7.61
524,Lloret de Mar,20,ES,1563579523,94,41.7,2.85,77.0,2.24
525,Abilene,1,US,1563579747,23,32.45,-99.73,99.0,20.8
526,Mushie,60,CD,1563579748,68,-3.02,16.92,74.46,3.91
527,Jingdezhen,3,CN,1563579749,79,29.29,117.2,82.92,1.3
528,Khandyga,64,RU,1563579751,63,62.65,135.58,53.22,5.12
529,Talara,0,PE,1563579586,290,-4.58,-81.27,62.6,12.75
530,Kodino,47,RU,1563579753,82,63.72,39.64,48.18,6.22
531,Krasnoarmeysk,75,RU,1563579754,100,56.12,38.15,61.0,8.95
532,Baykit,0,RU,1563579755,49,61.68,96.39,56.46,12.64
533,Aksay,4,KZ,1563579757,90,51.17,53.01,65.46,8.88
534,Necochea,100,AR,1563579758,85,-38.55,-58.74,51.01,8.01
535,Galbshtadt,93,RU,1563579759,95,53.23,78.98,62.04,7.74
536,Biak,96,ID,1563579760,93,-0.91,122.88,66.36,3.94
537,Quelimane,0,MZ,1563579762,93,-17.88,36.89,66.2,2.24
538,Kasongo-Lunda,4,CD,1563579613,59,-6.48,16.82,65.5,4.5
539,Hamilton,75,CA,1563579544,88,43.26,-79.87,87.01,14.99
540,Grindavik,20,IS,1563579765,93,63.84,-22.43,55.99,11.41
541,Hobyo,59,SO,1563579766,63,5.35,48.53,76.44,23.04
542,San Carlos de Bariloche,75,AR,1563579768,86,-41.13,-71.31,33.8,13.87
543,Colomi,75,BO,1563579769,36,-17.34,-65.87,62.6,11.41
544,Brownsville,20,US,1563579770,55,25.91,-97.49,93.2,20.8
545,Flin Flon,20,CA,1563579771,68,54.77,-101.88,69.8,5.82
546,Kutum,34,SD,1563579772,55,14.2,24.66,78.24,7.72
547,Quatis,73,BR,1563579774,91,-22.41,-44.26,51.96,0.63
548,Gonen,0,IL,1563579775,82,33.12,35.65,75.99,4.74
549,Muravlenko,20,RU,1563579776,67,63.79,74.5,74.1,6.49
550,Cibitoke,17,BI,1563579777,71,-2.89,29.12,61.32,2.62
551,Prince Rupert,75,CA,1563579665,72,54.32,-130.32,62.6,4.7
552,Behshahr,75,IR,1563579779,94,36.69,53.54,78.8,4.7
553,Ust-Nera,100,RU,1563579781,81,64.57,143.24,37.2,9.24
554,Bakchar,10,RU,1563579782,95,57.02,82.07,63.12,4.54
555,Anchorage,1,US,1563579783,44,61.22,-149.89,79.0,19.46
556,Kopavogur,20,IS,1563579784,66,64.11,-21.91,55.99,2.24
557,San Nicolas,75,PH,1563579785,83,13.93,120.95,82.99,4.7
558,Buchanan,75,LR,1563579787,94,5.88,-10.05,77.0,3.36
